"year","avg_home_team_score","avg_visitor_team_score","avg_fgm","avg_fga","avg_fg3m","avg_fg3a","avg_ftm","avg_fta","avg_reb","avg_ast","avg_stl","avg_blk","avg_turnover","avg_pf","avg_pts"
"1998","96.9175627240143369","94.0657108721624851","3.0149370991753889","6.6731683058212917","0.38662577387362702689","1.10959487034919890132","1.62071943762264702515","2.19014459139255117005","3.4673722428648489","1.85330840986041399583","0.69604194376427671234","0.42008385797568314399","1.21145454146208721004","1.8637060924127761","8.0372194098470519"
"1999","94.9258037922506183","91.7164056059356966","2.8980172066497741","6.5984173008252724","0.37496761495471126641","1.10031246360164959348","1.57180424014217340062","2.14475616295932436406","3.5010187955811455","1.74698259622181626583","0.67839809489635648304","0.42292197974910616941","1.23137649841546038634","1.89513487091052595128","7.7428062683964329"
"2000","98.3691073219658977","95.0020060180541625","3.0450128049236243","6.7989666494742593","0.41428383109339020551","1.16852639358373953493","1.58822303995192225125","2.10350740148459393192","3.5572993148029126","1.85080089760369730749","0.65107256319916038230","0.42218121368114826748","1.20522905996653325692","1.93954447722556396540","8.0925324808925611"
"2001","96.9521700620017715","93.4614703277236492","3.0080951435978667","6.7997137961922314","0.42481512133947512451","1.19325366536951889346","1.52828669122590253221","2.03767749809983069522","3.5761731451287173","1.83821711276105314753","0.64396367280964735643","0.44388714886205628507","1.15888757953542102742","1.80778204561595120021","7.9692920997611110"
"2002","96.8596345514950166","93.2458471760797342","2.9890368090496286","6.7554430315913777","0.43381954016126340269","1.23195746950766451045","1.52720555080749360575","2.02890336952918203726","3.5422104624114230","1.79456492124537047168","0.65812123900542938535","0.43033475798841247349","1.17930553824602647452","1.81445753215867328253","7.9390987090680143"
"2003","96.4495699765441751","92.8623924941360438","2.9614690521116803","6.7113754788717587","0.43492205801519485619","1.25115720156691637991","1.52799256357012624817","2.01702244582545308369","3.5218125417231102","1.79486509725921433187","0.65672609895782364646","0.41779099866850311786","1.17807395009775792465","1.80824999978154232776","7.8858527258086817"
"2004","95.9767441860465116","92.6038492381716119","2.9366199893476572","6.6680377478684119","0.44038790084905559646","1.26788027638461483375","1.58182072312790834919","2.10280296048586722747","3.5187585475241126","1.76739432718264072497","0.65264224665145495857","0.41483089813278968902","1.19122805967616721803","1.84907724915860783737","7.8954486026722783"
"2005","98.8782148260211800","95.6399394856278366","2.9983579723460267","6.6725071731885610","0.47451767981639275256","1.32691919139977181184","1.65039039948042108523","2.19740441739917901087","3.4744991392486947","1.74165423937893812874","0.61197176492209574215","0.40700877341222597445","1.13990117964303371666","1.90190696216842902557","8.1216240239888673"
"2006","99.6621923937360179","95.9284116331096197","3.0095927559131528","6.5911799562820864","0.48963449523706308069","1.37570046986592069823","1.64734665042076772464","2.19621396338641742714","3.4063332848888729","1.72230487255290289884","0.59413818929722051990","0.38909230423090942496","1.17090947634863596385","1.89024711133844486520","8.1561666574841363"
"2007","99.9434682964094729","97.1497326203208556","3.0439341400930984","6.6811416355449591","0.52407267127234874464","1.45703987812412591629","1.60695994208076402185","2.13942105012884749065","3.4564677306719941","1.78496196267724369162","0.61085702546652743825","0.38402397938820903809","1.18765047859645518917","1.81250840852796177680","8.2189008935393096"
"2008","101.3055555555555556","97.7785285285285285","3.0938762554825357","6.7725294305064836","0.54682182566844402596","1.50802560630459181182","1.57730257156585659124","2.07254149351371573463","3.4806521711654562","1.78331565590623561734","0.60164002935742066177","0.39949039674281220175","1.10975773149082327982","1.75614903990507855260","8.3118769081993720"
"2009","101.9521276595744681","98.3237082066869301","3.1118768569419102","6.7644367545174317","0.54911071028488230519","1.51665873243265741267","1.59027169030050280112","2.07723501727621376908","3.4463550899774560","1.74298298441115618389","0.60456421569630132302","0.40226342336959533019","1.12178558956159701317","1.77388968447063976517","8.3631361144692055"
